Longitude,Latitude,Type,Name,Street,City,State,Zip_Code
-71.0530768,42.3552909,Verizon Locations,Verizon 125 High St - High Tower,125 High St - High Tower,Boston,MA,2110
-71.0733678,42.2994631,Verizon Locations,Verizon 6 Bowdoin Sq,6 Bowdoin Sq,Boston,MA,2121
-71.200085,42.486234,Verizon Locations,Verizon 51 S Bedford St,51 S Bedford St,Burlington,MA,1803
-71.13505,41.954417,Verizon Locations,Verizon 385 Myles Standish Blvd,385 Myles Standish Blvd,Taunton,MA,2780
-71.1581594,42.5874153,Verizon Locations,Verizon 200 Ballardvale ST,200 Ballardvale ST,Wilmington,MA,1887
-71.804872,42.26551,Verizon Locations,Verizon 15 Chestnut St,15 Chestnut St,Worcester,MA,1609
-71.2732565,42.394503,Verizon Locations,Verizon 50-60 Sylvan Rd,50-60 Sylvan Rd,Waltham,MA,2451
-71.3244925,42.6147171,Verizon Locations,Verizon 900 Chelmsford St,900 Chelmsford St,Lowell,MA,1851
-74.0129973,40.7138034,Verizon Locations,Verizon 140 West St,140 West St,New York,NY,10007
-73.975441,40.747432,Verizon Locations,Verizon 221 E 37Th St,221 E 37Th St,New York,NY,10016
-76.0866343,43.078345,Verizon Locations,Verizon 6360 Thompson Rd,6360 Thompson Rd,Syracuse,NY,13206
-73.770873,41.032452,Verizon Locations,Verizon 111 Main St,111 Main St,White Plains,NY,10601
-77.6420318,43.0665157,Verizon Locations,Verizon 133 Calkins Rd,133 Calkins Rd,Rochester,NY,14623
-73.6286338,40.7083715,Verizon Locations,Verizon 199 Fulton Ave,199 Fulton Ave,Hempstead,NY,11550
-73.9898524,41.0400227,Verizon Locations,Verizon 2000 Corporate Dr,2000 Corporate Dr,Orangeburg,NY,10962
-74.0469952,41.1094588,Verizon Locations,Verizon 239 W Rte 59,239 W Rte 59,Spring Valley,NY,10977
-73.7810693,41.1006785,Verizon Locations,Verizon 500 Summit Lake Dr,500 Summit Lake Dr,Valhalla,NY,10595
-73.6047292,40.7404371,Verizon Locations,Verizon 741 Zeckendorf Blvd,741 Zeckendorf Blvd,Garden City,NY,11530
-73.982758,40.72823,Best Burgers,Brindle Room,277 E 10th St,New York,NY,10009
-74.000691,40.730009,Best Burgers,Minetta Tavern,113 MacDougal St.,New York,NY,10012
-74.00669,40.735583,Best Burgers,The Spotted Pig,314 W 11th St,New York,NY,10014
-74.003764,40.737972,Best Burgers,Corner Bistro,331 W 4th St,New York,NY,10014
-74.001775,40.737358,Best Burgers,The Little Owl,93 Greenwich Ave,New York,NY,10014
-73.957287,40.777477,Best Burgers,Lexington Candy Shop,1226 Lexington Ave,New York,NY,10028
-73.962452,40.709828,Best Burgers,Peter Luger,178 Broadway,Brooklyn,NY,11211
-73.988432,40.744905,Best Restaurants,NoMad,1170 Broadway,New York,NY,10001
-73.984692,40.719685,Best Restaurants,wd~50,50 Clinton St,New York,NY,10002
-73.993801,40.734084,Best Restaurants,Gotham Bar & Grill,12 E 12th St,New York,NY,10003
-73.990233,40.730893,Best Restaurants,Ippudo,65 4th Ave,New York,NY,10003
-73.989506,40.737855,Best Restaurants,ABC Kitchen,35 E 18th St,New York,NY,10003
-73.988463,40.738381,Best Restaurants,Gramercy Tavern,42 E 20th St,New York,NY,10003
-73.987124,40.72968,Best Restaurants,Alder,157 2nd Ave,New York,NY,10003
-73.985956,40.73177,Best Restaurants,Momofuku Ssam Bar,207 2nd Ave,New York,NY,10003
-73.984593,40.728982,Best Restaurants,Momofuku Ko,163 1st Ave,New York,NY,10003
-73.986505,40.741512,Best Restaurants,Eleven Madison Park,11 Madison Ave,New York,NY,10010
-74.007366,40.743435,Best Restaurants,Del Posto,85 10th Avenue,New York,NY,10011
-73.999681,40.73204,Best Restaurants,Blue Hill at Stone Barns,75 Washington Pl,New York,NY,10011
-73.999227,40.732346,Best Restaurants,Babbo Ristorante,110 Waverly Pl,New York,NY,10011
-73.992498,40.726526,Best Restaurants,Il Buco Alimentari & Vineria,53 Great Jones St,New York,NY,10012
-74.008881,40.71944,Best Restaurants,Nobu,105 Hudson St,New York,NY,10013
-74.00455,40.731754,Best Restaurants,Sushi Nakazawa,23 Commerce St.,New York,NY,10014
-73.973704,40.751107,Best Restaurants,Sushi Yasuda,204 E 43rd St,New York,NY,10017
-73.983127,40.768637,Best Restaurants,Masa,10 Columbus Cir 4th Fl,New York,NY,10019
-73.981788,40.761546,Best Restaurants,Le Bernardin,155 West 51st Street,New York,NY,10019
-73.98112,40.767387,Best Restaurants,Marea,240 Central Park S,New York,NY,10019
-73.976402,40.764237,Best Restaurants,Betony,41 W 57th St,New York,NY,10019
-73.982793,40.768293,Best Restaurants,Per Se,10 Columbus Cir.,New York,NY,10023
-73.981422,40.769086,Best Restaurants,Jean Georges,1 Central Park West,New York,NY,10023
-73.967608,40.766728,Best Restaurants,Daniel,60 E 65th St,New York,NY,10065
-73.828674,41.104049,Best Restaurants,Blue Hill at Stone Barns,630 Bedford Rd.,Pocantico Hills,NY,10591
-73.985315,40.688453,Best Restaurants,Chef's Table at Brooklyn Fare,212 Schermerhorn St.,Brooklyn,NY,11201
-73.981396,40.675301,Best Restaurants,Al Di La,248 5th Ave,Brooklyn,NY,11215
-73.955717,40.720914,Best Restaurants,The Elm,160 N 12th St,Brooklyn,NY,11249
-73.986259,40.748171,Halls of Fame,Irish American Baseball Hall of Fame,18 West 33rd Street,New York,NY,10001
-73.98497,40.762497,Halls of Fame,American Theater Hall of Fame,222 West 51st Street,New York,NY,10019
-73.950047,40.810021,Halls of Fame,The Apollo Theatre Hall of Fame,253 West 125th Street,New York,NY,10027
-73.913953,40.858799,Halls of Fame,Hall of Fame for Great Americans,2155 University Ave,Bronx,NY,10453
-73.922602,40.826983,Halls of Fame,Bronx Walk of Fame,161st Street and Grand Concourse,Bronx,NY,10458
-74.31937,41.404217,Halls of Fame,Harness Racing Museum & Hall of Fame,240 Main St,Goshen,NY,10924
-73.849069,40.755916,Halls of Fame,New York Mets Hall of Fame,123-01 Roosevelt Ave,Flushing-Queens,NY,11368
