Longitude,Latitude,Type,Name,Street,City,State,Zip_Code
-122.327735,47.661143,Best Burgers,Dick?s Drive-In,111 NE 45th St,Seattle,WA,98105
-122.380162,47.663556,Best Restaurants,The Walrus and the Carpenter,4743 Ballard Ave NW,Seattle,WA,98107
-122.348094,47.621494,Halls of Fame,Science Fiction Museum and Hall of Fame,325 5th Ave N,Seattle,WA,98109
-122.346741,47.642958,Best Restaurants,Canlis,2576 Aurora Ave N,Seattle,WA,98109
-122.1350759,47.5794218,Verizon Locations,Verizon 3245 158th Ave SE,3245 158th Ave SE,Bellevue,WA,98008
-122.1322073,47.5809197,Verizon Locations,Verizon 3305 160th Ave SE,3305 160th Ave SE,Bellevue,WA,98008
-122.632083,45.504625,Best Restaurants,Pok Pok,3226 SE Division St,Portland,OR,97202
-122.635061,45.562404,Best Restaurants,Beast,5425 NE 30th Ave,Portland,OR,97211
-122.657979,45.522752,Best Restaurants,Le Pigeon,738 E Burnside St,Portland,OR,97214
-122.638035,45.461231,Halls of Fame,Oregon Sports Hall of Fame,8500 SE McLoughlin Blvd,Portland,OR,97222
-118.247209,34.047833,Best Restaurants,Baco Mercat,408 S Main St,Los Angeles,CA,90013
-118.267222,34.043056,NBA Stadium,Staples Center,1111 S. Figueroa Street,Los Angeles,CA,90015
-118.342086,34.101318,Halls of Fame,Hollywood Walk of Fame,7018 Hollywood Blvd,Los Angeles,CA,90028
-118.361689,34.079226,Best Restaurants,Animal,435 N Fairfax Ave,Los Angeles,CA,90036
-118.338773,34.083273,Best Restaurants,Osteria Mozza,6602 Melrose Ave,Los Angeles,CA,90038
-118.330173,34.083641,Best Restaurants,Providence,5955 Melrose Ave,Los Angeles,CA,90038
-118.376747,34.069818,Best Restaurants,The Bazaar,465 S La Cienega Blvd,Los Angeles,CA,90048
-118.414672,34.056376,Best Restaurants,Hinoki & The Bird,10 W Century Dr,Los Angeles,CA,90067
-118.389076,34.09086,Best Restaurants,Night + Market,9041 W Sunset Blvd,West Hollywood,CA,90069
-118.375338,34.082332,Best Restaurants,Lucques,8474 Melrose Ave,Los Angeles,CA,90069
-118.397651,34.067621,Best Restaurants,Spago,176 N Canon Dr.,Beverly Hills,CA,90210
-118.400707,34.066679,Best Restaurants,Cut,9500 Wilshire Blvd,Beverly Hills,CA,90212
-118.498416,34.029339,Best Burgers,Father's Office,1018 Montana Ave,Santa Monica,CA,90403
-117.999444,33.844304,Theme Park,Knott's Berry Farm,8039 Beach Blvd,Buena Park,CA,90620
-118.17571,34.1971,NASA Centers,NASA Jet Propulsion Laboratory,4800 Oak Grove Drive,Pasadena,CA,91109
-118.596886,34.425418,Theme Park,Six Flags Magic Mountain,26101 Magic Mountain Pkwy,Valencia,CA,91355
-118.353045,34.13809,Theme Park,Universal Studios Hollywood,100 Universal City Plaza,Universal City,CA,91608
-117.311643,33.126407,Theme Park,Legoland California,One LEGOLAND Drive,Carlsbad,CA,92008
-117.152376,32.727258,Halls of Fame,Breitbard Hall of Fame,2131 Pan American Plaza,San Diego,CA,92101
-117.225689,32.764881,Theme Park,SeaWorld San Diego,500 Sea World Dr,San Diego,CA,92109
-117.918836,33.805885,Theme Park,Disney California Adventure Park,1313 Disneyland Dr,Anaheim,CA,92802
-117.89652,34.95618,NASA Centers,Nasa Dryden Flight Research Center,N Rosamond Blvd,Edwards,CA,93524
-122.06562,37.40892,NASA Centers,Nasa Ames Research Center,801 Moffett Blvd,Mountain View,CA,94043
-122.06417,37.40899,NASA Centers,NASA Exploration Center,Moffett Federal Field,Mountain View,CA,94043
-122.421643,37.773621,Best Burgers,Zuni Cafe,1658 Market St,San Francisco,CA,94102
-122.392041,37.791174,Halls of Fame,Bay Area Sports Hall of Fame,201 Spear St #1150,San Francisco,CA,94105
-122.399246,37.78975,Best Restaurants,Yank Sing (Rincon Center),49 Stevenson Street,San Francisco,CA,94105
-122.393441,37.79542,Best Burgers,Gott's Roadside,1 Ferry Building; Suite 6,San Francisco,CA,94105
-122.420601,37.805856,Best Restaurants,Gary Danko,800 N Point St.,San Francisco,CA,94109
-122.421581,37.763981,Best Restaurants,Bar Tartine,561 Valencia St,San Francisco,CA,94110
-122.419651,37.761216,Best Restaurants,Mission Chinese Food,2234 Mission St,San Francisco,CA,94110
-122.39962,37.793446,Best Restaurants,Michael Mina,252 California St,San Francisco,CA,94111
-122.433047,37.7837,Best Restaurants,State Bird Provisions,1529 Fillmore St,San Francisco,CA,94115
-122.403399,37.798109,Best Restaurants,Coi,373 Broadway St,San Francisco,CA,94133
-122.40335,37.797473,Best Restaurants,Quince,470 Pacific Ave,San Francisco,CA,94133
-122.388215,38.418955,Best Burgers,Mustards Grill,7399 Saint Helena Hwy,Napa,CA,94558
-122.466628,38.522566,Best Restaurants,The Restaurant at Meadowood,900 Meadowood Lane,Saint Helena,CA,94574
-122.24967,38.14193,Theme Park,Six Flags Discovery Kingdom,1001 Fairgrounds Dr,Vallejo,CA,94589
-122.364989,38.404398,Best Restaurants,The French Laundry,6640 Washington St,Yountville,CA,94599
-122.361985,38.402587,Best Restaurants,Bouchon Bistro,6534 Washington St,Yountville,CA,94599
