Longitude,Latitude,Type,Name,Street,City,State,Zip_Code
-86.072406,33.578323,Halls of Fame,International Motorsports Hall of Fame,3198 Speedway Blvd,Talladega,AL,35160
-86.81185,33.514943,Halls of Fame,Alabama Jazz Hall of Fame,1631 4th Ave N,Birmingham,AL,35203
-86.810039,33.525765,Halls of Fame,Alabama Sports Hall of Fame,2150 Richard Arrington Jr Blvd N,Birmingham,AL,35203
-87.706904,34.713003,Halls of Fame,Alabama Music Hall of Fame,617 U.S. 72,Tuscumbia,AL,35674
-86.65475,34.71225,NASA Centers,Marshall Space Flight Center,1 Tranquility Base,Huntsville,AL,35805
-92.264413,34.755203,Halls of Fame,Arkansas Sports Hall of Fame,3 Verizon Arena Way,North Little Rock,AR,72114
-92.2643137,34.7549408,Verizon Locations,Verizon One Verizon Dr,One Verizon Dr,Little Rock,AR,72114
-112.071389,33.445833,NBA Stadium,Talking Stick Resort Arena,201 East Jefferson,Phoenix,AZ,85004
-111.953222,33.447673,Halls of Fame,Hall of Flame,6101 E Van Buren St,Phoenix,AZ,85008
-110.86597,32.139496,Halls of Fame,Arizona Aviation Hall of Fame,6000 E Valencia Road,Tuscon,AZ,85756
-111.9618505,33.2919328,Verizon Locations,Verizon 6955 W Morelos PL,6955 W Morelos PL,Chandler,AZ,85226
-72.783402,41.546837,Best Burgers,Ted's Restaurant,1046 Broad St,Meriden,CT,6450
-72.930373,41.306455,Best Burgers,Louis? Lunch,263 Crown St,New Haven,CT,6511
-72.8009675,41.479327,Verizon Locations,Verizon 20 Alexander DR,20 Alexander DR,Wallingford,CT,6492
-77.023628,38.899027,Best Restaurants,Zaytinya,701 9th St NW,Washington,DC,20001
-77.020833,38.898056,NBA Stadium,Verizon Center,601 F Street NW,Washington,DC,20004
-77.023802,38.896259,Best Restaurants,Minibar by Jose Andres,855 E St NW,Washington,DC,20004
-77.021288,38.894972,Best Restaurants,Rasika,633 D St NW,Washington,DC,20004
-77.030427,38.883595,Best Restaurants,CityZen,1330 Maryland Ave SW,Washington,DC,20024
-77.038208,38.910097,Best Restaurants,Komi,1509 17th St NW,Washington,DC,20036
-77.015461,38.88307,NASA Centers,NASA Headquarters,300 E Street SW,Washington,DC,20546
-75.564174,39.731809,Halls of Fame,Delaware Sports Museum and Hall of Fame,801 Shipyard Dr,Wilmington,DE,19801
-84.549689,33.768444,Theme Park,Six Flags Over Georgia,275 Riverside Pkwy SW,Austell,GA,30168
-84.396389,33.757222,NBA Stadium,Philips Arena,1 Philips Drive NW,Atlanta,GA,30303
-84.389328,33.771693,Best Burgers,The Varsity,61 North Ave NW,Atlanta,GA,30308
-84.390386,33.815928,Best Burgers,Holeman & Finch Public House,2277 Peachtree Rd NE,Atlanta,GA,30309
-84.384481,33.779063,Best Burgers,The Vortex,878 Peachtree St NE,Atlanta,GA,30309
-84.395761,33.760558,Halls of Fame,College Football Hall of Fame,250 Marietta St NW,Atlanta,GA,30313
-84.388624,33.734836,Halls of Fame,Atlanta Braves Museum and Hall of Fame,755 Hank Aaron Dr SE,Atlanta,GA,30315
-84.412039,33.786741,Best Restaurants,Bacchanalia,1198 Howell Mill Rd NW,Atlanta,GA,30318
-83.624836,32.834615,Halls of Fame,Georgia Sports Hall of Fame,301 Cherry St,Macon,GA,31201
-83.323633,30.720167,Theme Park,Wild Adventures Theme Park,3766 Old Clyattville Rd,Valdosta,GA,31601
-84.2772775,34.0553182,Verizon Locations,Verizon 5055 N Point PKWY,5055 N Point PKWY,Alpharetta,GA,30022
-88.0425767,42.0408099,Verizon Locations,Verizon 1515 E Woodfield Rd,1515 E Woodfield Rd,Schaumburg,IL,60173
-86.155556,39.763889,NBA Stadium,Bankers Life Fieldhouse,125 S. Pennsylvania St,Indianapolis,IN,46204
-86.171501,39.768139,Halls of Fame,NCAA Hall of Champions,700 W Washington St,Indianapolis,IN,46204
-86.233668,39.790183,Halls of Fame,Indianapolis Motor Speedway Hall of Fame Museum,4790 W 16th St,Indianapolis,IN,46222
-86.019412,40.75475,Halls of Fame,Circus Hall of Fame,3076 Peru Circus Ln,Peru,IN,46970
-85.380601,39.909766,Halls of Fame,Indiana Basketball Hall of Fame,408 Trojan Ln,New Castle,IN,47362
-86.91248,38.122558,Theme Park,Holiday World & Splashin Safari,452 E Christmas Blvd,Santa Claus,IN,47579
-90.080185,29.951707,Halls of Fame,New Orleans Saints Hall of Fame,1500 Poydras St,New Orleans,LA,70112
-90.081944,29.948889,NBA Stadium,Smoothie King Center,1501 Girod Street,New Orleans,LA,70113
-89.916868,30.026813,NASA Centers,Michoud Assembly Facility,13800 Old Gentilly Rd,New Orleans,LA,70129
-90.08423,29.928901,Best Restaurants,Commander's Palace,1403 Washington Ave,New Orleans,LA,70130
-90.07154,29.947302,Best Restaurants,Herbsaint,701 St Charles Ave,New Orleans,LA,70130
-90.069023,29.954953,Best Restaurants,Galatoire's,209 Bourbon St,New Orleans,LA,70130
-90.067277,29.942261,Best Restaurants,Cochon,930 Tchoupitoulas St,New Orleans,LA,70130
-90.066818,29.949978,Best Restaurants,August,301 Tchoupitoulas St,New Orleans,LA,70130
-93.086373,31.759483,Halls of Fame,Louisiana Sports Hall of Fame,500 Front St,Natchitoches,LA,71457
-72.614602,42.036791,Theme Park,Six Flags New England,1623 Main St,Agawam,MA,1001
-72.606072,42.205639,Halls of Fame,Volleyball Hall of Fame,444 Dwight St,Holyoke,MA,1040
-72.585096,42.093714,Halls of Fame,Naismith Memorial Basketball Hall of Fame,1000 Hall Fame Ave,Springfield,MA,1105
-71.252674,42.094399,Halls of Fame,New England Patriots Hall of Fame,2 Patriot Dr,Foxborough,MA,2035
-71.057031,42.351433,Best Restaurants,O-Ya,9 East St,Boston,MA,2111
-71.062228,42.366303,NBA Stadium,TD Garden,100 Legends Way,Boston,MA,2114
-71.068125,42.378493,Halls of Fame,Entrepreneur Walk of Fame,321 Main St,Boston,MA,2129
-71.116158,42.372443,Best Burgers,Mr. Bartley's Burger Cottage,1246 Massachusetts Ave,Cambridge,MA,2138
-71.098585,42.363513,Best Burgers,Craigie on Main,853 Main St,Cambridge,MA,2139
-71.0530768,42.3552909,Verizon Locations,Verizon 125 High St - High Tower,125 High St - High Tower,Boston,MA,2110
-71.0733678,42.2994631,Verizon Locations,Verizon 6 Bowdoin Sq,6 Bowdoin Sq,Boston,MA,2121
-71.200085,42.486234,Verizon Locations,Verizon 51 S Bedford St,51 S Bedford St,Burlington,MA,1803
-71.13505,41.954417,Verizon Locations,Verizon 385 Myles Standish Blvd,385 Myles Standish Blvd,Taunton,MA,2780
-71.1581594,42.5874153,Verizon Locations,Verizon 200 Ballardvale ST,200 Ballardvale ST,Wilmington,MA,1887
-71.804872,42.26551,Verizon Locations,Verizon 15 Chestnut St,15 Chestnut St,Worcester,MA,1609
-71.2732565,42.394503,Verizon Locations,Verizon 50-60 Sylvan Rd,50-60 Sylvan Rd,Waltham,MA,2451
-71.3244925,42.6147171,Verizon Locations,Verizon 900 Chelmsford St,900 Chelmsford St,Lowell,MA,1851
-76.77122,38.90111,Theme Park,Six Flags America,13710 Central Avenue,Upper Marlboro,MD,20721
-76.852809,38.991087,NASA Centers,Goddard Space Flight Center,8800 Greenbelt Road,Greenbelt,MD,20771
-76.621819,39.334673,Halls of Fame,Lacrosse Museum and National Hall of Fame,113 W University Pkwy,Baltimore,MD,21210
-76.9583232,39.0709752,Verizon Locations,Verizon 13100 Columbia Pike,13100 Columbia Pike,Silver Spring,MD,20904
-76.890229,39.161063,Verizon Locations,Verizon 7600 Montpelier Rd,7600 Montpelier Rd,Laurel,MD,20723
-76.6519325,39.4945391,Verizon Locations,Verizon 99 Shawan Rd,99 Shawan Rd,Cockeysville,MD,21030
-70.250909,43.657995,Best Restaurants,Fore Street,288 Fore St.,Portland,ME,4101
-78.638475,35.781864,Halls of Fame,North Carolina Sports Hall of Fame,5 E Edenton St,Raleigh,NC,27601
-80.843668,35.221308,Halls of Fame,NASCAR Hall of Fame,400 E Martin Luther King Jr Blvd,Charlotte,NC,28202
-80.94987,35.10085,Theme Park,Camp Wilderness Resort,14523 Carowinds Blvd,Charlotte,NC,28273
-80.839167,35.225,NBA Stadium,Time Warner Cable Arena,333 East Trade Street,Charlotte,NC,28302
-78.789056,35.8312669,Verizon Locations,Verizon 6400 Weston Pkwy,6400 Weston Pkwy,Cary,NC,27513
-80.732037,35.136355,Verizon Locations,Verizon 10100 Sardis Crossing DR,10100 Sardis Crossing DR,Charlotte,NC,28270
-80.9473904,35.1514481,Verizon Locations,Verizon 3700 Arco Corporate Dr,3700 Arco Corporate Dr,Charlotte,NC,28273
-77.9047888,34.1993186,Verizon Locations,Verizon 3601 Converse DR,3601 Converse DR,Wilmington,NC,28403
-74.038434,40.889184,Best Burgers,White Manna Hamburgers,358 River St,Hackensack,NJ,7601
-74.055478,40.852372,Halls of Fame,Aviation Hall of Fame and Museum of New Jersey,400 Fred Wehran Dr,Teterboro,NJ,7608
-74.439743,40.136994,Theme Park,Six Flags Great Adventure,1 Six Flags Blvd,Jackson,NJ,8527
-74.3193419,40.2390713,Verizon Locations,Verizon 999 W Main St,999 W Main St,Freehold,NJ,7728
-74.4772849,40.7709098,Verizon Locations,Verizon 100 Southgate Pkwy,100 Southgate Pkwy,Morristown,NJ,7960
-74.5718612,40.6530848,Verizon Locations,Verizon 30 Independence Blvd,30 Independence Blvd,Warren,NJ,7059
-74.634952,40.6444059,Verizon Locations,Verizon 180 Washington Valley Rd,180 Washington Valley Rd,Bedminster,NJ,7921
-74.4953301,40.5449301,Verizon Locations,Verizon 201 Centennial AVE,201 Centennial AVE,Piscataway,NJ,8854
-74.5333389,40.7250243,Verizon Locations,Verizon One Verizon WAY,One Verizon WAY,Basking Ridge,NJ,7920
-73.993611,40.750556,NBA Stadium,Madison Square Garden,4 Pennsylvania Plaza,New York,NY,10001
-73.986259,40.748171,Halls of Fame,Irish American Baseball Hall of Fame,18 West 33rd Street,New York,NY,10001
-73.988432,40.744905,Best Restaurants,NoMad,1170 Broadway,New York,NY,10001
-73.984692,40.719685,Best Restaurants,wd~50,50 Clinton St,New York,NY,10002
-73.993801,40.734084,Best Restaurants,Gotham Bar & Grill,12 E 12th St,New York,NY,10003
-73.990233,40.730893,Best Restaurants,Ippudo,65 4th Ave,New York,NY,10003
-73.989506,40.737855,Best Restaurants,ABC Kitchen,35 E 18th St,New York,NY,10003
-73.988463,40.738381,Best Restaurants,Gramercy Tavern,42 E 20th St,New York,NY,10003
-73.987124,40.72968,Best Restaurants,Alder,157 2nd Ave,New York,NY,10003
-73.985956,40.73177,Best Restaurants,Momofuku Ssam Bar,207 2nd Ave,New York,NY,10003
-73.984593,40.728982,Best Restaurants,Momofuku Ko,163 1st Ave,New York,NY,10003
-73.982758,40.72823,Best Burgers,Brindle Room,277 E 10th St,New York,NY,10009
-73.986505,40.741512,Best Restaurants,Eleven Madison Park,11 Madison Ave,New York,NY,10010
-74.007366,40.743435,Best Restaurants,Del Posto,85 10th Avenue,New York,NY,10011
-73.999681,40.73204,Best Restaurants,Blue Hill at Stone Barns,75 Washington Pl,New York,NY,10011
-73.999227,40.732346,Best Restaurants,Babbo Ristorante,110 Waverly Pl,New York,NY,10011
-73.992498,40.726526,Best Restaurants,Il Buco Alimentari & Vineria,53 Great Jones St,New York,NY,10012
-74.000691,40.730009,Best Burgers,Minetta Tavern,113 MacDougal St.,New York,NY,10012
-74.008881,40.71944,Best Restaurants,Nobu,105 Hudson St,New York,NY,10013
-74.00455,40.731754,Best Restaurants,Sushi Nakazawa,23 Commerce St.,New York,NY,10014
-74.00669,40.735583,Best Burgers,The Spotted Pig,314 W 11th St,New York,NY,10014
-74.003764,40.737972,Best Burgers,Corner Bistro,331 W 4th St,New York,NY,10014
-74.001775,40.737358,Best Burgers,The Little Owl,93 Greenwich Ave,New York,NY,10014
-73.973704,40.751107,Best Restaurants,Sushi Yasuda,204 E 43rd St,New York,NY,10017
-73.98497,40.762497,Halls of Fame,American Theater Hall of Fame,222 West 51st Street,New York,NY,10019
-73.983127,40.768637,Best Restaurants,Masa,10 Columbus Cir 4th Fl,New York,NY,10019
-73.981788,40.761546,Best Restaurants,Le Bernardin,155 West 51st Street,New York,NY,10019
-73.98112,40.767387,Best Restaurants,Marea,240 Central Park S,New York,NY,10019
-73.976402,40.764237,Best Restaurants,Betony,41 W 57th St,New York,NY,10019
-73.982793,40.768293,Best Restaurants,Per Se,10 Columbus Cir.,New York,NY,10023
-73.981422,40.769086,Best Restaurants,Jean Georges,1 Central Park West,New York,NY,10023
-73.965436,40.805422,NASA Centers,Goddard Institute for Space Studies,2880 Broadway,New York,NY,10025
-73.950047,40.810021,Halls of Fame,The Apollo Theatre Hall of Fame,253 West 125th Street,New York,NY,10027
-73.957287,40.777477,Best Burgers,Lexington Candy Shop,1226 Lexington Ave,New York,NY,10028
-73.967608,40.766728,Best Restaurants,Daniel,60 E 65th St,New York,NY,10065
-73.913953,40.858799,Halls of Fame,Hall of Fame for Great Americans,2155 University Ave,Bronx,NY,10453
-73.922602,40.826983,Halls of Fame,Bronx Walk of Fame,161st Street and Grand Concourse,Bronx,NY,10458
-73.677004,40.965491,Theme Park,Rye Playland,100 Playland Pkwy,Rye,NY,10580
-73.828674,41.104049,Best Restaurants,Blue Hill at Stone Barns,630 Bedford Rd.,Pocantico Hills,NY,10591
-74.31937,41.404217,Halls of Fame,Harness Racing Museum & Hall of Fame,240 Main St,Goshen,NY,10924
-73.985315,40.688453,Best Restaurants,Chef's Table at Brooklyn Fare,212 Schermerhorn St.,Brooklyn,NY,11201
-73.962452,40.709828,Best Burgers,Peter Luger,178 Broadway,Brooklyn,NY,11211
-73.981396,40.675301,Best Restaurants,Al Di La,248 5th Ave,Brooklyn,NY,11215
-74.171111,40.733611,NBA Stadium,Barclays Center,620 Atlantic Avenue,Brooklyn,NY,11217
-73.955717,40.720914,Best Restaurants,The Elm,160 N 12th St,Brooklyn,NY,11249
-73.849069,40.755916,Halls of Fame,New York Mets Hall of Fame,123-01 Roosevelt Ave,Flushing-Queens,NY,11368
-73.303341,40.82922,Halls of Fame,National Jewish Sports Hall of Fame and Museum,74 Hauppauge Road,Commack,NY,11725
-73.419764,40.752605,Theme Park,Adventureland Amusement Park,2245 Broad Hollow Road (RT. 110),Farmingdale,NY,11735
-72.730441,40.924221,Theme Park,Splish Splash,2549 Splish Splash Drive,Calverton,NY,11933
